#CHROM	START	END	LOCUS	SYMBOL	strand	annotation
Chr1	2903	10817	LOC_Os01g01010	-	+	TBC_domain_containing_protein,expressed
Chr1	11218	12435	LOC_Os01g01019	-	+	expressed_protein
Chr1	12648	15915	LOC_Os01g01030	-	+	monocopper_oxidase,putative,expressed
Chr1	16292	20323	LOC_Os01g01040	-	+	expressed_protein
Chr1	22841	26971	LOC_Os01g01050	-	+	R3H_domain_containing_protein,expressed
Chr1	27136	28651	LOC_Os01g01060	-	+	40S_ribosomal_protein_S5,putative,expressed
Chr1	29818	34493	LOC_Os01g01070	-	+	expressed_protein
Chr1	35581	41180	LOC_Os01g01080	OsSPL1	+	decarboxylase,putative,expressed
Chr1	57082	57972	LOC_Os01g01110	-	+	expressed_protein
Chr1	58658	61090	LOC_Os01g01115	-	+	pentatricopeptide,putative,expressed
Chr1	62059	63576	LOC_Os01g01120	-	+	enolase-phosphatase_E1,putative,expressed
Chr1	63244	66302	LOC_Os01g01130	-	-	snurportin-1,putative,expressed
Chr1	69675	70131	LOC_Os01g01140	-	+	expressed_protein
Chr1	72775	79938	LOC_Os01g01150	-	+	RNA_recognition_motif,putative,expressed
Chr1	82428	84302	LOC_Os01g01160	-	+	heat_shock_protein_DnaJ,putative,expressed
Chr1	85337	88844	LOC_Os01g01170	-	+	expressed_protein
Chr1	88986	89204	LOC_Os01g01180	-	-	expressed_protein
Chr1	89653	91521	LOC_Os01g01190	-	-	phosphoesterase_family_protein,putative,expressed
Chr1	134291	135685	LOC_Os01g01280	OsTLP27	+	expressed_protein
Chr1	139820	141588	LOC_Os01g01290	-	+	histone-like_transcription_factor_and_archaeal_histone,putative,expressed
Chr1	141936	144554	LOC_Os01g01295	-	+	expressed_protein
Chr1	145577	147852	LOC_Os01g01302	OsSK4|OsSKL1	+	shikimate_kinase,putative,expressed
Chr1	148045	150577	LOC_Os01g01307	-	+	translocon-associated_protein_beta_domain_containing_protein,expressed
Chr1	168470	170389	LOC_Os01g01340	Lir1|OsLIR1	-	light-induced_protein_1-like,putative,expressed
Chr1	170712	173434	LOC_Os01g01350	-	-	SNF7_domain_containing_protein,putative,expressed
Chr1	178310	180812	LOC_Os01g01360	-	+	peptide_transporter_PTR2,putative,expressed
Chr1	186246	190846	LOC_Os01g01369	-	-	3-beta-hydroxysteroid-Delta-isomerase,putative,expressed
Chr1	191036	196287	LOC_Os01g01380	-	+	expressed_protein
Chr1	197647	200803	LOC_Os01g01390	-	+	expressed_protein
Chr1	201944	206743	LOC_Os01g01400	-	+	expressed_protein
Chr1	205710	209606	LOC_Os01g01410	-	-	TKL_IRAK_C-LEC.1_-_TKL_IRAK_C-LEC_has_homology_to_C-type_lectin_receptors,expressed
Chr1	209771	214229	LOC_Os01g01420	OsCOIN	+	expressed_protein
Chr1	216126	217664	LOC_Os01g01430	-	+	No_apical_meristem_protein,putative,expressed
Chr1	219011	220776	LOC_Os01g01440	-	-	expressed_protein
Chr1	226897	229331	LOC_Os01g01450	-	+	stress_responsive_protein,putative,expressed
Chr1	241641	243468	LOC_Os01g01470	ONAC020	+	no_apical_meristem_protein,putative,expressed
Chr1	248706	256878	LOC_Os01g01484	OsDET1	-	light-mediated_development_protein_DET1,putative,expressed
Chr1	259607	259909	LOC_Os01g01500	-	+	expressed_protein
Chr1	261504	268471	LOC_Os01g01510	-	+	sas10%2FUtp3_family_protein,expressed
Chr1	270145	275084	LOC_Os01g01520	-	-	transferase_family_protein,putative,expressed
Chr1	288372	292296	LOC_Os01g01570	-	+	kinesin_heavy_chain,putative,expressed
Chr1	292844	293535	LOC_Os01g01580	-	+	expressed_protein
Chr1	293648	294536	LOC_Os01g01590	-	+	hypothetical_protein
Chr1	303103	306800	LOC_Os01g01600	-	+	ethylene-responsive_protein_related,putative,expressed
Chr1	306869	308842	LOC_Os01g01610	-	-	IscA-like_iron-sulfur_assembly_protein,mitochondrial_precursor,putative,expressed
Chr1	309459	313170	LOC_Os01g01620	-	-	kinase,pfkB_family,putative,expressed
Chr1	319713	322248	LOC_Os01g01640	-	+	Rer1_protein,putative,expressed
Chr1	322556	323948	LOC_Os01g01650	-	-	isoflavone_reductase_homolog_IRL,putative,expressed
Chr1	327128	328451	LOC_Os01g01660	OsIRL	-	isoflavone_reductase,putative,expressed
Chr1	330238	332345	LOC_Os01g01670	-	-	expressed_protein
Chr1	332667	333689	LOC_Os01g01680	-	-	expressed_protein
